neuroimaging_modality,fmri_design_type,event_design,task_type,condition_type,conditions,total_length_seconds,mri_field_strength,pulse_sequence_type,imaging_type,resolution_mm,analysis_software,preprocessing_steps,statistical_model,pain_type,pain_location,pain_modality,pain_intensity,pain_duration,pmcid
fMRI,task-based,block,pain,painful,"['high pressure', 'low pressure']",1680.0,3T,gradient echo,echo planar imaging (EPI),3,SPM12,"['motion correction', 'co-registration of the mean EPI to the T1', 'spatial normalization to the MNI template', 'segmentation of the T1 image using the unified segmentation approach']",GLM,experimental,forearm,pressure,high and low,short,10046093
fMRI-BOLD,task-based,mixed,motor,,"['instruct', 'self-drive', 'drive']",60.0,"1.5T, 3T",EPI,EPI,"3.5 mm, 3.0 mm",FSL,"['motion correction', 'brain extraction', 'intensity normalization', 'smoothing']",mixed effects modeling,,,,,,3280262
Diffusion MRI,,,,,,,3T,3D IRprepared FSPGR (BRAVO),,1.11,MATLAB,"['motion correction', 'manual demarcation']",Partial Least Squares analysis (PLS),,,,,,9392540
fMRI-BOLD,task-based,event-related,emotional,non-painful,"['fear', 'anger', 'sadness']",300.0,1.5T,gradient echo,EPI,3.75,SPM8,"['realignment', 'normalization', 'smoothing']",GLM,,,,,,6492163
EEG,,,cognitive,,"['L+ F+/-', 'L+ F-', 'L- F+/-', 'L- F-']",,,,,,ANT-EEProbe,['artefact rejection'],ANOVA,,,,,,2708178
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['theatrical events', 'subjective events']",840.0,2T,EPI,EPI,4mm,SPM5,"['motion correction', 'spatial normalization', 'smoothing']",GLM,,,,,,2936906
fMRI,task-based,block,cognitive,neutral,"['baseline', 'learning']",480.0,3T,gradient echo,echo planar imaging (EPI),2.3,SPM8,"['slice timing correction', 'realignment', 'normalization', 'smoothing']",GLM,,,,,,4375788
fMRI-BOLD,task-based,event-related,cognitive,non-painful,"['living', 'non-living']",660.0,3T,gradient echo,EPI,3.3,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,6033386
fMRI,task-based,mixed,cognitive,neutral,"['target', 'non-target']",4800.0,3T,gradient echo,echo planar imaging (EPI),3,FSL,"['motion correction', 'slice timing correction', 'high-pass temporal-filtering', 'spatial-smoothing']",GLM,,,,,,6403295
fMRI-BOLD,task-based,block,cognitive,neutral,['neutral'],300.0,3T,gradient echo,echo planar imaging (EPI),3.125,"AFNI, FSL","['slice-timing correction', 'rigid-body motion correction', 'spatial smoothing']",GLM,,,,,,6477506
fMRI,resting-state,,,,,600.0,,EPI,EPI,3.125,fMRIprep,"['motion correction', 'skull-stripping', 'intensity correction']",GLM,null,null,null,null,null,7669903
,,,,,,,,,,,,,,,,,,,3600659
fMRI-BOLD,resting-state,,,,,,3T,gradient-recalled echo-planar imaging,EPI,3.75,DPARSF,"['slice-timing correction', 'head-motion correction']",ANOVA,,,,,,10655435
fMRI-BOLD,task-based,event-related,cognitive,non-painful,"['go', 'no-go']",,3T,gradient-recalled echo-planar imaging,EPI,3.75,DPARSF,"['slice-timing correction', 'head-motion correction']",ANOVA,,,,,,10655435
Diffusion MRI,,,,,,,3T,single-shot echo planar imaging,3D,3.0,FSL,"['motion correction', 'eddy current and gradient orientation corrections', 'brain extraction']",TBSS,,,,,,11141711
fMRI,resting-state,,,,,400.0,3T,spin echo planar imaging (EPI),EPI,3x3x3,"SPM12, DPABI","['motion correction', 'slice timing correction', 'spatial normalization']",GLM,,,,,,9685621
fMRI-BOLD,task-based,event-related,cognitive,non-painful,"['Hand-cognitive', 'Ghost-cognitive', 'Text-cognitive']",6.0,3T,double echo imaging,EPI,3,SPM12,"['realignment and unwarping', 'normalization', 'smoothing']",GLM,,,,,,10522020
fMRI-BOLD,task-based,event-related,spatial,non-painful,"['Hand-spatial', 'Ghost-spatial', 'Text-spatial']",6.0,3T,double echo imaging,EPI,3,SPM12,"['realignment and unwarping', 'normalization', 'smoothing']",GLM,,,,,,10522020
fMRI,resting-state,,,,,,3T,,EPI,3.33,"DPARSF, GIFT","['removing the first 10 volumes', 'aligning slice timing', 'applying head motion correction', 'spatial normalization', 'smoothing spatially']","MANOVA, t-tests",,,,,,8725707
fMRI,task-based,event-related,cognitive,neutral,"['reward', 'effort']",120.0,3T,EPI,EPI,3x3x3,FSL,"['motion correction', 'slice timing correction', 'spatial smoothing', 'temporal high-pass filtering']",GLM,,,,,,5213710
PET,,,,,,,,,,,SPM,"['manual image reorientation', 'normalization into MNI space', 'resampling to 2x2x2 mm voxel size', 'smoothing with 8mm FWHM Gaussian kernel']",ANCOVA,,,,,,8403753
SPECT,,,,,,,,,,,,,,,,,,,8403753
fMRI,resting-state,,,,,,,,,,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,8403753
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['positive', 'negative', 'neutral']",,3T,gradient echo,echo planar imaging (EPI),3.5,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,4055190
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['neutral', 'personally relevant']",1680.0,3T,EPI,EPI,3,SPM,"['realignment', 'normalization', 'smoothing']",GLM,,,,,,3805951
fMRI,resting-state,,,,,608.0,3T,gradient echo,echo planar imaging (EPI),3.45,"SPM12, CONN toolbox","['motion correction', 'slice timing correction', 'normalization', 'spatial filtering', 'denoising']",GLM,,,,,,8921488
MRI,,,,,,,3T,gradient echo,3D,1,SPM,"['motion correction', 'slice timing correction']",ANOVA,,,,,,6534061
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['genetic', 'adopted']",1470.0,3T,EPI,EPI,3,FSL,"['motion correction', 'slice timing correction', 'registration to standard template', 'spatial smoothing']",ISC,,,,,,7304509
fMRI-BOLD,task-based,event-related,pain,painful,"['threat', 'safe']",9.0,3T,gradient echo,echo planar imaging (EPI),3,FSL,"['motion correction', 'slice timing correction']",GLM,experimental,finger,electrical,medium,short,8791867
fMRI-BOLD,task-based,mixed,pain,painful,"['high pain', 'medium pain', 'low pain']",48.0,3T,gradient echo,EPI,3,AFNI,"['motion correction', 'slice timing correction']",GLM,acute,forearm,thermal,high,short,9681218
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['painful', 'non-painful', 'neutral']",4800.0,3T,gradient echo,echo planar imaging (EPI),3.5,SPM,"['motion correction', 'slice timing correction', 'spatial normalization', 'smoothing']",GLM,,,,,,7303006
fMRI-BOLD,task-based,mixed,cognitive,non-painful,"['social', 'nonsocial']",240.0,3T,gradient echo,EPI,3x3x3,"FSL, SPM12","['motion correction', 'brain extraction', 'spatial smoothing']",GLM,,,,,,5844060
MRI,,,,,,,"1.5T, 3T",,T1-weighted,1 1 1,FreeSurfer,"['skull stripping', 'Talairach transforms', 'atlas registration', 'spherical surface maps', 'parcellations']",GLM,chronic,forearm,,,,5476738
fMRI-BOLD,resting-state,,,,,480.0,3T,T2*-weighted,3D,3.4 3.4 3.2,SPM5,"['k-space outliers replacement', 'field map correction', 'physiological variations regression', 'slice timing correction', 'motion correction']",GLM,,,,,,3389385
fMRI-BOLD,task-based,block,cognitive,non-painful,"['alcohol condition', 'beverage condition', 'control condition', 'fix condition']",360.0,3T,gradient echo,EPI,2.9x2.9x4.0,SPM8,"['motion correction', 'slice timing correction']",GLM,,,,,,5772563
MRI,resting-state,,,,,,1.5T,turbo filled echo,3D,1.0,SPM8,"['segmentation', 'spatial normalization', 'smoothing']",GLM,,,,,,4208702
fMRI-BOLD,resting-state,,,,,510.0,3T,,,,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,5293810
fMRI-BOLD,task-based,mixed,motor,,"['no spatial accuracy, no object, ten repetitions', 'no spatial accuracy, no object, twenty repetitions', 'low spatial accuracy, no object, ten repetitions', 'low spatial accuracy, no object, twenty repetitions', 'high spatial accuracy, no object, ten repetitions', 'high spatial accuracy, no object, twenty repetitions', 'no spatial accuracy, object, ten repetitions', 'no spatial accuracy, object, twenty repetitions', 'low spatial accuracy, object, ten repetitions', 'low spatial accuracy, object, twenty repetitions', 'high spatial accuracy, object, ten repetitions', 'high spatial accuracy, object, twenty repetitions']",3000.0,1.5T,gradient echo,echo planar imaging (EPI),1,SPM5,"['slice-time correction', 'realignment', 'unwarping', 'normalization', 'smoothing']",GLM,,,,,,3105023
Diffusion MRI,,,,,,,3T,,,2.5,FSL,['eddy current correction'],GLM,,,,,,9326236
fMRI-BOLD,resting-state,,,,,400.0,3T,,,2.0,"DPARSFA, SPM12","['Converting the DICOM images into the NIFTI format', 'deleting the first 10 time points', 'slice-timing', 'realignment', 'spatially normalizing the fMRI figures to the Montreal Neurological Institute (MNI) space and resampling to 333mm resolution', 'detrending', 'regressing several spurious variances', 'band-pass temporal filtering between 0.01-0.08Hz', 'framewise displacement (FD) calculation']","ANOVA, Spearman correlation",,,,,,10434245
,,,,,,,,,,,,,,,,,,,4607417
fMRI-BOLD,task-based,block,cognitive,neutral,"['neutral non-food-related objects', 'foods of high hedonic value', 'foods of neutral hedonic value']",600.0,3T,gradient echo,echo planar imaging (EPI),3.43x3.43x2.6,SPM8,"['motion correction', 'slice timing correction']",GLM,,,,,,4341570
fMRI,task-based,mixed,cognitive,non-painful,"['n-Back', 'Paced Auditory Serial Addition Test', 'Paced Visual Serial Addition Test']",,,,,,GingerALE,,ALE,,,,,,3878376
MRI,,,,,,4800.0,3T,"gradient echo, spin echo",3D,1.5,"CAT12, FSL, SPM12","['field bias modulation', 'tissue segmentation', 'diffeomorphic anatomical registration', 'spatial smoothing']",GLM,,,,,,8938797
fMRI,task-based,mixed,pain,painful,"['pre-acupuncture', 'post-acupuncture']",410.0,3T,gradient echo,echo planar imaging (EPI),2,"FSL, AFNI","['motion correction', 'slice timing correction', 'co-registration', 'normalization', 'smoothing', 'detrending', 'nuisance variable regression']",GLM,chronic,knee,null,null,long,8805588
fMRI,task-based,block,cognitive,painful,"['injection', 'biopsy', 'Q-tip']",,,,,,SPM12,['motion correction'],GLM,experimental,hand,thermal,,,5465825
Diffusion MRI,,,,,,,3T,spin echo,,2.3,SPM,"['motion correction', 'eddy current correction', 'voxel displacement map estimation']",GLM,,,,,,3991654
Diffusion MRI,,,,,,,3T,spin echo,EPI,1.5,SPM,"['motion correction', 'slice timing correction']",multiple regression analysis,,,,,,4653806
fMRI-BOLD,task-based,mixed,motor,,"['grasp-to-move', 'grasp-to-use']",420.0,4T,T2,echo planar imaging (EPI),1,SPM12,"['motion correction', 'slice timing correction']",GLM,,,,,,8354930
fMRI,task-based,mixed,cognitive,neutral,"['drug-naive', 'medicated']",400.0,3T,gradient echo,EPI,3,DPABI,"['slice timing correction', 'head motion correction', 'spatial normalization', 'regression of nuisance covariates', 'linear detrending', 'smoothing', 'bandpass filtering']",GLM,,,,,,8996347
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['safe', 'dangerous', 'dangerous+']",,3T,EPI,EPI,2,SPM8,"['motion correction', 'slice timing correction']",GLM,,,,,,6193957
fMRI-BOLD,task-based,block,cognitive,neutral,"['ingroup', 'outgroup', 'control']",240.0,3T,gradient echo,EPI,2.9,SPM8,"['motion correction', 'slice timing correction']",GLM,,,,,,5390749
fMRI-BOLD,resting-state,,,,,,3T,,,,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,9295451
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['mental rotation', 'serial subtraction', 'button press']",,3T,gradient echo,EPI,2.5,BrainVoyager QX 2.2,"['motion correction', 'normalization to Talairach space', 'Gaussian smoothing']",GLM,,,,,,4727040
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['high arousal-negative valence', 'low arousal-negative valence', 'low arousal-positive valence', 'high arousal-positive valence']",,3T,echo-planar imaging,EPI,3,SPM,"['motion correction', 'linear trend correction']",GLM,,,,,,5012606
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['0-back', '1-back', '2-back']",90.0,3T,gradient echo,echo planar imaging (EPI),3.75,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,3677092
fMRI-BOLD,task-based,block,cognitive,non-painful,"['1-back', '3-back']",582.0,3T,gradient echo,echo planar imaging (EPI),1,SPM12,"['motion correction', 'slice timing correction', 'spatial normalization', 'smoothing']",GLM,,,,,,8897706
PET,,,,,,900.0,,,,,SPM12,"['motion correction', 'smoothing']",GLM,,,,,,9668618
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['fearful', 'neutral']",11.3,3T,T2*-weighted,echoplanar imaging (EPI),3.2,AFNI,['motion correction'],GLM,,,,,,4912858
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['FM', 'EE']",492.0,3T,gradient echo,EPI,3x3x5,SPM5,"['slice timing correction', 'realignment', 'spatial normalization', 'detrending', 'scaling']",SVM,,,,,,4519547
fMRI-BOLD,resting-state,,,,,,3T,gradient-recalled echo-planar imaging,EPI,3,Data Processing Assistant for Resting-State fMRI,"['Digital Imaging and Communication in Medicine form transformation', 'slice timing', 'head-motion correction', 'spatial normalization', 'smooth']",GLM,,,,,,4835129
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['CS+G', 'CS+N', 'CS']",1800.0,3T,gradient echo,echo planar imaging (EPI),2x2x3,SPM12,"['realignment', 'slice time correction', 'co-registration to the participants structural image', 'normalization to MNI standard space', 'smoothing using an 8-mm FWHM Gaussian kernel']",GLM,,,,,,8059492
fMRI-BOLD,resting-state,,,,,,3T,gradient echo,echo planar imaging (EPI),4,SPM8,"['head-motion correction', 'co-registration', 'segmentation', 'normalization to MNI standard space', 'temporal regression of 24 head-motion parameters', 'temporal filtering between 0.01 to 0.1 Hz', 'spatial-smoothing with 6 mm full-width-at-half-maximum Gaussian filter']",linear mixed models,,,,,,10104268
fMRI-BOLD,task-based,event-related,pain,painful,"['PUNS-M', 'PUNS-T']",4500.0,3T,gradient echo,echo planar imaging (EPI),3,SPM,"['slice-time correction', 'realigned', 'preprocessed by linear trend removal', 'temporal high-pass filtered', 'three-dimensional motion corrected']",GLM,experimental,finger,ultrasound,medium,short,3514181
PET,,,cognitive,,"['silent speech', 'non-speech mouth movements', 'finger tapping', 'visual fixation']",270.0,,,,,SPM99,"['realigned using the first as a reference', 'transformed into a standard MNI space', 'smoothed with a Gaussian kernel of 8mm FWHM']",ANCOVA,,,,,,3174393
fMRI,task-based,block,emotional,neutral,"['positive music', 'negative music', 'pure tones', 'positive nonmusical stimuli', 'negative nonmusical stimuli']",324.0,3T,gradient echo,EPI,2.9x2.9,AFNI,"['trilinear 3D motion correction', '3D spatial smoothing to 4 mm with a Gaussian filter', 'high pass filter temporal smoothing']",GLM,,,,,,4902194
fMRI-BOLD,resting-state,,,,,,,,,,SDM-PSI,"['global analysis', 'pre-processing', 'mean analysis', 'threshold analysis', 'family-wise error (FWE) correction', 'threshold analysis', 'extract peak coordinates and bias test']",,,,,,,10755479
fMRI-BOLD,resting-state,,,,,,,,,,SDM-PSI,"['global analysis', 'pre-processing', 'mean analysis', 'threshold analysis', 'family-wise error (FWE) correction', 'threshold analysis', 'extract peak coordinates and bias test']",,,,,,,10755479
fMRI-BOLD,task-based,mixed,motor,,"['0.25 Hz', '0.5 Hz', '1 Hz', '1.5 Hz', '2 Hz', '4 Hz']",100.0,3T,gradient echo,echo planar imaging (EPI),3.0,SPM5,"['realignment', 'coregistration', 'normalization', 'smoothing']",GLM,,,,,,2583153
fMRI,resting-state,,,,,,3T,gradient echo,echo planar imaging (EPI),3,SPM12,"['slice timing', 'realignment']",GLM,,,,,,7124138
fMRI,resting-state,,,,,,3T,gradient echo,echo planar imaging (EPI),3,SPM12,"['slice timing', 'realignment']",GLM,,,,,,7124138
fMRI,task-based,mixed,motor,non-painful,"['externally-paced', 'self-paced']",,,,,,GingerALE 2.3,['motion correction'],ALE,,,,,,4179708
fMRI-BOLD,task-based,mixed,auditory,,,30.0,3T,gradient echo,echo planar imaging (EPI),3,Brain Voyager QX,"['head motion correction', 'slice scan time correction', 'high-pass filtering']",GLM,,,,,,3063163
fMRI,resting-state,,,,,,,,,,SPM12,"['motion correction', 'segmentation using NewSegment', 'spatial normalization to MNI space', 'smoothing with Gaussian kernel of 8 mm full-width at half maximum']",GLM,,,,,,5441129
EEG,,,,,,30.0,,,,,Brain Vision Analyzer 2,"['band-pass filtering', 'ocular artifacts correction', 'baseline correction']",ANOVA,,,,,,4604244
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['Risky Choices', 'Cash-outs', 'Losses']",540.0,3T,gradient echo,echo planar imaging (EPI),4,FMRIB software library,"['motion correction', 'slice timing correction']",GLM,,,,,,3786224
MRI,,,,,,,3T,gradient echo,3D,1x1x1,SPM8,"['reorientation', 'tissue classification', 'non-linear deformation', 'normalization', 'smoothing']",GLM,,,,,,4724035
fMRI-BOLD,resting-state,,,,,,3T,EPI,EPI,3.8,SPM12,"['conversion of image data format from DICOM to NIFTI', 'removal of the first 10 scan volumes', 'slice timing', 'head motion correction', 'nuisance covariates regression', 'coregistration and spatial normalization', 'temporally band pass filtering', 'spatial smoothing']",two-sample t-tests,episodic,,,,,10232109
Diffusion MRI,,,,,,360.0,3T,spin echo,echo planar imaging (EPI),2mm,FSL,"['head movements correction', 'eddy currents correction']",GLM,,,,,,4925890
fMRI,task-based,event-related,cognitive,neutral,['monetary incentive delay'],,3T,,EPI,,SDM,,meta-analysis,,,,,,9573872
fMRI,task-based,event-related,cognitive,neutral,['monetary incentive delay'],,3T,,EPI,,SDM,,meta-analysis,,,,,,9573872
PET,,,,,,5700.0,,,,3x3x3,SPM12,"['motion correction', 'skull-stripping', 'spatial normalization']",multiple regression,,,,,,10456574
MRI,,,,,,270.0,3T,gradient echo,3D,1x1x1,SPM 12,"['motion correction', 'slice timing correction', 'normalization', 'segmentation']",ANOVA,,,,,,4473298
MRI,,,,,,,"1.5T, 3T",,,1.5,SPM 12,"['motion correction', 'slice timing correction']",GLM,,,,,,6844592
MEG,,block,motor,,,540.0,1.5T,gradient echo,,1.7,Brainstorm,"['motion correction', 'artifact rejection']",GLM,,,,,,6125813
fMRI-BOLD,task-based,block,cognitive,neutral,"['active', 'passive']",108.0,3T,gradient echo,echo planar imaging (EPI),3x3x2.5,Brain Voyager,"['slice scan time correction', '3D motion correction', 'spatial smoothing', 'temporal filtering']",GLM,,,,,,3412995
fMRI,resting-state,,,,,600.0,3T,gradient echo,EPI,1.5,SPM,"['motion correction', 'slice timing correction']",ANCOVA,,,,,,9918214
fMRI,task-based,mixed,cognitive,non-painful,"['control', 'stress']",600.0,3T,gradient echo,EPI,1.5,SPM,"['motion correction', 'slice timing correction']",ANCOVA,,,,,,9918214
fMRI,task-based,mixed,emotional,non-painful,"['technical exclusion', 'social exclusion', 'inclusion']",600.0,3T,gradient echo,EPI,1.5,SPM,"['motion correction', 'slice timing correction']",ANCOVA,,,,,,9918214
MRI,task-based,mixed,cognitive,,"['Now', 'Later']",,3T,gradient echo,echo planar imaging (EPI),3,FSL,"['motion correction', 'spatial smoothing', 'high-pass temporal filtering']",GLM,chronic,knee,,,,10776740
MRI,,,,,,900.0,1.5T,,3D,1,FreeSurfer,"['motion correction', 'skull removal', 'brain tissue segmentation']",ANOVA,,,,,,5339600
MRI,,,,,,,3T,,,,SPM12,['intensity normalization'],two-sample T-test,,,,,,6313257
EEG,,,,,,1200.0,,,,,Cartool,,two-sample T-test,,,,,,6313257
fMRI-BOLD,task-based,block,cognitive,neutral,"['sad', 'happy', 'neutral']",264.0,3T,gradient echo,echo planar imaging (EPI),3,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,3285192
fMRI-BOLD,task-based,event-related,cognitive,non-painful,"['silent counting', 'rest']",60.0,3T,gradient echo,EPI,3,FSL,"['motion correction', 'non-brain removal', 'spatial smoothing', 'intensity normalization', 'temporal filtering']",GLM,,,,,,2880799
fMRI-BOLD,task-based,block,cognitive,neutral,"['synch', 'asynch']",960.0,3T,gradient echo,EPI,3.5,SPM5,"['motion correction', 'slice timing correction', 'spatial normalization']",GLM,,,,,,3217964
fMRI-BOLD,resting-state,,,,,360.0,3T,echo planar,EPI,3.44x3.44x4,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,9120884
fMRI-BOLD,task-based,block,cognitive,neutral,"['tinnitus-related words', 'neutral words']",60.0,3T,gradient echo,echo planar imaging (EPI),2x2,Brain Voyager QX,"['3D motion correction', 'slice scan-time correction', 'temporal filtering', 'spatial smoothing']",GLM,,,,,,4975911
fMRI,task-based,mixed,cognitive,neutral,"['naming', 'reading aloud', 'semantic decisions', 'articulation']",1440.0,1.5T,gradient echo,echo planar imaging (EPI),3x3,SPM,"['motion correction', 'slice timing correction', 'spatial normalization', 'smoothing']",GLM,,,,,,3306575
fMRI,task-based,block,cognitive,neutral,"['Humans + PD', 'Humans + WG', 'Computers + PD', 'Computers + WG']",,3T,EP2D-BOLD,EPI,4,FSL,"['motion correction', 'slice timing correction', 'spatial smoothing', 'highpass temporal filtering']",GLM,,,,,,4932112
MRI,,,,,,,3T,T1-weighted,,1.3 1.0 1.3,FreeSurfer,"['motion correction', 'removal of non-brain tissue', 'intensity normalization', 'automated Talairach transformation', 'volumetric structure segmentation', 'cortical surface reconstruction', 'parcellation']",GLM,,,,,,7642616
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['congruent', 'incongruent', 'neutral']",144.0,3T,EPI,EPI,3,SPM,"['slice timing correction', 'realignment for motion correction', 'coregistration', 'normalisation', 'smoothing']",GLM,,,,,,5991324
fMRI-BOLD,task-based,block,cognitive,neutral,"['Low Load', 'High Load', 'Low Maintenance', 'High Maintenance']",192.0,3T,EPI,EPI,3,SPM,"['slice timing correction', 'realignment for motion correction', 'coregistration', 'normalisation', 'smoothing']",GLM,,,,,,5991324
fMRI-BOLD,resting-state,,,,,480.0,3T,EPI,EPI,3,SPM,"['slice timing correction', 'realignment for motion correction', 'coregistration', 'normalisation', 'smoothing']",GLM,,,,,,5991324
fMRI,task-based,mixed,cognitive,painful,"['trauma-related stimuli', 'neutral condition']",,,,,,ES-SDM,,meta-analysis,,,,,,3607590
fMRI-BOLD,resting-state,,,,,,3T,echo-planar imaging (EPI),EPI,3,SPM12,"['motion correction', 'slice timing correction', 'normalization', 'regression of nuisance covariates']",GLM,,,,,,10476610
fMRI-BOLD,resting-state,,,,,480.0,3T,echo-planar imaging,EPI,3,SPM8,"['slice timing correction', 'head-motion correction', 'normalization', 'smoothing', 'linear detrending', 'band-pass filtering']",two-sample t-tests,,,,,,7062961
fMRI-BOLD,task-based,block,cognitive,non-painful,"['forward', 'backward']",300.0,3T,EPI,EPI,3.8,SPM8,"['motion correction', 'slice timing correction', 'realignment', 'co-registration', 'segmentation', 'normalization', 'smoothing']",GLM,,,,,,7500081
fMRI-BOLD,resting-state,,,,,900.0,3T,gradient echo,echo planar imaging (EPI),2.0,SPM8,"['head motion correction', 'spatial normalization', 'slice timing', 'full-width smoothing']",GLM,acute and chronic,tooth,electrical,medium,medium,10097157
fMRI-BOLD,task-based,block,cognitive,non-painful,"['Repeat Unit', 'Repeat Sequence']",10.0,3T,gradient echo,EPI,1.964 x 1.964 x 3.0,AFNI,"['slice timing correction', 'spatial alignment', 'image co-registration', 'normalization', 'spatial smoothing', 'amplitude scaling']",GLM,,,,,,6177116
fMRI-BOLD,task-based,block,cognitive,neutral,"['predictive cue', 'nonpredictive cue']",270.0,1.5T,gradient echo,echo planar imaging (EPI),3x3x4,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,3356714
fMRI,resting-state,,,,,5580.0,3T,gradient echo,echo planar imaging (EPI),3.75 mm x 3.75 mm x 4 mm,"SPM12, RESTplus Version 1.2","['slice timing', 'realignment', 'spatial normalization']",GLM,,,,,,10102747
fMRI-BOLD,resting-state,,,,,334.0,3T,gradient echo,echo planar imaging (EPI),3.5,FSL,"['high-pass filtering', 'spatial smoothing']",GLM,,,,,,6965093
fMRI-BOLD,task-based,block,cognitive,non-painful,"['CPT', 'control']",633.0,7T,3D-EPI,EPI,2,SPM12,"['motion correction', 'physiological noise correction']",GLM,,,,,,7005099
fMRI,task-based,mixed,cognitive,,,,3T,inverse-spiral,EPI,3.75,AFNI,"['skull-stripped', 'intensity-normalized', 'nonlinearly warped', 'despiked', 'slice time-corrected', 'realigned', 'coregistered', 'spatially normalized', 'resampled', 'smoothed', 'bandpass filtered']",CPM,,,,,,11071117
fMRI-BOLD,resting-state,,,,,480.0,3T,gradient echo,echo planar imaging (EPI),3.75,DPARSF,"['motion correction', 'slice timing correction']",GLM,,,,,,5478859
fMRI,resting-state,,,,,360.0,3T,Turbo Field Echo,3D,1.1,SPM12,"['realignment', 'slicetiming correction', 'normalisation', 'smoothing']",ANCOVA,chronic,spinal cord,thermal,medium,long,8288099
fMRI,task-based,mixed,cognitive,neutral,"['VIS', 'HID']",56.0,3T,EPI,EPI,3,SPM,"['spatial realignment to the mean volume', 'slice time correction', 'co-registration', 'normalization to the standard Montreal Neurological Institute (MNI) template', 'smoothing using 8mm Gaussian kernel']",GLM,,,,,,4729319
fMRI,task-based,event-related,cognitive,,"['animal vocalization', 'animal action sound']",,3T,ep2d,EPI,3.75,AFNI,['motion correction'],GLM,,,,,,5216875
fMRI-BOLD,resting-state,,,,,930.0,3T,multiband EPI,EPI,2.3,FSL,"['motion correction', 'non-brain removal', 'spatial smoothing', 'grand-mean intensity normalization', 'high-pass temporal filtering', 'distortion correction', 'coregistration', 'parcellation']",,,,,,,11003924
fMRI-BOLD,task-based,block,motor,non-painful,"['LEFT', 'RIGHT', 'REST']",396.0,3T,gradient echo,EPI,2.0 2.0 3.0,SPM12,"['slice-time correction', 'realignment', 'reslicing', 'normalization to MNI space', 'spatial smoothing']",GLM,,,,,,10570419
fMRI-BOLD,resting-state,,,,,460.0,3T,gradient echo,EPI,2.2 2.2 3.0,SPM12,"['slice-timing correction', 'realignment', 'co-registration', 'normalization to MNI space', 'spatial smoothing']",,,,,,,10570419
fMRI,task-based,block,cognitive,neutral,"['math', 'story']",228.0,3T,EPI,EPI,2.0,"FSL, FreeSurfer, SPM","['gradient unwarping', 'motion correction', 'fieldmap-based EPI distortion correction', 'brain-boundary-based registration', 'non-linear registration into MNI152 space', 'grand-mean intensity normalization', 'spatial smoothing']",GLM,,,,,,6414418
MRI,,,,,,3600.0,3T,Turbo Field Echo,3D,1.2,SPM8,"['motion correction', 'slice timing correction']",GLM,,,,,,5489690
MRI,connectivity,,,,,,,,,,Sleuth,,ALE,,,,,,7903137
fMRI-BOLD,resting-state,,,,,,3T,spin echo,EPI,3.75,SPM8,"['motion correction', 'slice timing correction', 'spatial normalization', 'smoothing']",GLM,,,,,,4736480
fMRI-BOLD,resting-state,,,,,480.0,3T,T2-weighted single shot reverse spiral,EPI,4,SPM,"['slice timing correction', 'motion detection', 'coregistration', 'spatial normalization', 'smoothing']",ANCOVA,,,,,,6002968
fMRI,resting-state,,,,,310.0,3T,gradient echo,echo planar imaging (EPI),3.75,SPM8,"['slice-timing correction', 'head movement correction', 'normalization to MNI template', 'spatial smoothing', 'temporal band-pass filter']",ANOVA,,,,,,4828428
,,,,,,,,,,,,,,,,,,,4624999
fMRI-BOLD,task-based,block,cognitive,neutral,"['angry', 'happy', 'neutral']",480.0,3T,EPI,EPI,3x3,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,6995256
MRI,,,,,,,3T,gradient echo,3D,1,SPM,"['motion correction', 'eddy-current correction']",GLM,chronic,general,thermal,medium,long,10197341
fMRI-BOLD,task-based,block,cognitive,neutral,"['trained', 'untrained', 'control']",240.0,3T,gradient echo,echo planar imaging (EPI),3,FSL,"['motion correction', 'slice timing correction', 'non-brain removal', 'spatial smoothing', 'highpass temporal filtering']",GLM,,,,,,6243115
fMRI,task-based,mixed,cognitive,neutral,['neutral'],600.0,7T,EPI,EPI,2.5,AFNI,"['motion correction', 'slice timing correction']",GLM,,,,,,6377652
